,21-Apr-2020
The Nifty witnessed an intraday movement of about 135 points.The closing index was 3.03 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 46977.52
, Traded Quantity (in Lakhs), 22285.3
, Number of Trades, 19066680
, Total Market Capitalisation (Rs. Crores), 11891972.91

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASHAPURMIN,EQ,        29.85,                  1892073.90,62946
,ASHIANA,EQ,        45.05,                  7323898.55,159299
,ASHIMASYN,EQ,         4.90,                   210430.80,42476
,ASHOKA,EQ,        62.00,                 39679767.60,627212
,ASIANHOTNR,EQ,        68.75,                 14041049.00,206218
,ASIANTILES,EQ,       158.75,                 58619267.35,377949
,ASPINWALL,EQ,        98.95,                    76394.95,742
,ASTEC,EQ,       387.80,                  5056233.15,12891
,ASTERDM,EQ,       101.40,                  9021860.70,89308
,ASTRAL,EQ,       861.00,                156330199.35,180241
,ASTRAMICRO,EQ,        66.85,                  7151435.65,106743
,ASTRAZEN,EQ,      2582.55,                 35225507.65,13369
,ASTRON,EQ,        29.75,                  1156317.40,38164
,ATFL,EQ,       488.25,                  1706371.65,3555
,ATLANTA,EQ,         4.25,                   134186.25,31585
,ATLASCYCLE,BE,        36.50,                    80215.65,2158
,ATUL,EQ,      4466.10,                208781637.10,46357
,ATULAUTO,EQ,       164.95,                  2998234.50,17980
,AUBANK,EQ,       559.95,                341385026.55,626924
,AURIONPRO,EQ,        48.30,                  1529413.90,31989
,AUSOMENT,EQ,        27.35,                    45436.35,1692
,AUTOAXLES,EQ,       482.65,                  5479823.20,11184
,AUTOIND,EQ,        15.80,                   211846.40,13408
,AUTOLITIND,EQ,        16.20,                   237484.15,14717
,AVADHSUGAR,EQ,       143.40,                  6695853.70,45916
,AVANTIFEED,EQ,       398.35,                114013513.25,284546
,AVG,SM,        24.25,                    58200.00,2400
,AVTNPL,EQ,        30.70,                  3471653.85,113966
,AXISCADES,EQ,        40.20,                  2502476.95,64061
,AXISGOLD,EQ,      4208.75,                 15711910.70,3716
,AXISNIFTY,EQ,      1102.00,                     1102.00,1
,AYMSYNTEX,EQ,        16.05,                    78600.55,4834
,BABAFOOD,SM,        36.30,                    72600.00,2000
,BAGFILMS,BE,         1.75,                    30657.00,17371
,BAJAJCON,EQ,       157.10,                 43073848.40,270427
,BAJAJELEC,EQ,       322.05,                 20258548.95,62345
,BAJAJHIND,EQ,         4.10,                  1152087.70,280997
,BALAJITELE,EQ,        45.65,                  4213174.25,93066
,BALAMINES,EQ,       334.05,                 10667321.05,31708
,BALAXI,BE,        75.25,                    29119.55,395
,BALKRISHNA,EQ,        12.20,                   216232.80,17724
,BALKRISIND,EQ,       868.60,                455497761.45,517676
,BALLARPUR,EQ,          .40,                  1604277.35,3968433
,BALMLAWRIE,EQ,       100.15,                 21566159.60,213870
,BALPHARMA,EQ,        44.10,                  1890043.80,42247
,BALRAMCHIN,EQ,       100.25,                132923177.15,1287297
,BANARBEADS,EQ,        30.60,                    24708.35,810
,BANARISUG,EQ,       928.60,                   481333.20,524
,BANCOINDIA,EQ,        69.15,                  8323180.85,119683
,BANG,EQ,        17.65,                    36758.20,2096
,BANKBEES,EQ,       198.23,                106200334.45,537214
,BANKINDIA,EQ,        34.90,                154364993.35,4390644
,BANSWRAS,EQ,        68.90,                   498288.70,7283
,BARTRONICS,BZ,          .95,                     6613.10,7097
,BASF,EQ,      1060.05,                 20995181.75,19903
,BASML,EQ,        82.00,                    99692.40,1247
,BATAINDIA,EQ,      1200.40,               2157728072.95,1824989
,BAYERCROP,EQ,      3920.05,                 57737088.25,14756
,BBL,EQ,       678.15,                 12536814.95,18702
,BBTC,EQ,       815.30,                 35888054.85,43656
,BCG,EQ,         3.95,                  1875102.75,462481
,BCP,EQ,        12.00,                    26386.35,2201
,BDL,EQ,       220.55,                  7004853.95,31713
,BEARDSELL,EQ,         6.30,                    45598.45,7258
,BEDMUTHA,EQ,        12.15,                   134443.90,10936
,BEL,EQ,        75.90,               1555334570.25,20673343
,BEML,EQ,       584.60,                264936393.30,446584
,BEPL,EQ,        37.10,                 10493660.55,280287
,BFINVEST,EQ,       239.00,                  2247636.20,9386
,BFUTILITIE,EQ,       170.10,                  7135456.70,41571
,BGRENERGY,EQ,        23.75,                  5539456.70,228209
,BHAGERIA,EQ,        94.30,                  2484403.35,26091
,BHAGYANGR,EQ,        15.65,                    23866.65,1522
,BHAGYAPROP,EQ,        18.60,                   130719.20,7090
,BHANDARI,EQ,          .95,                   110405.85,113396
,BHARATFORG,EQ,       259.30,                815589418.80,3072550
,BHARATGEAR,EQ,        41.25,                  1797762.60,43629
,BHARATRAS,EQ,      6125.05,                 22150489.20,3583
,BHARATWIRE,EQ,        15.85,                   398029.65,25160
,BHEL,EQ,        21.70,                516939693.35,23711520
,BIGBLOC,EQ,        29.95,                    53621.70,1752
,BIL,EQ,        79.15,                   746681.85,9289
,BILENERGY,EQ,          .60,                  2000079.05,3340868
,BINDALAGRO,EQ,         9.50,                   220298.60,23489
,BIOFILCHEM,EQ,        11.95,                    67792.35,5673
,BIRLACABLE,EQ,        42.30,                  4117628.05,95409
,BIRLACORPN,EQ,       429.25,                 80458679.35,186080
,BIRLAMONEY,EQ,        24.90,                  4071146.35,163072
,BIRLATYRE,EQ,         4.85,                    70780.90,14594
,BKMINDST,BE,          .70,                    58582.20,84048
,BLBLIMITED,EQ,         3.40,                     8437.50,2505
,BLISSGVS,EQ,        97.80,                  5888978.75,60629
,BLKASHYAP,BE,         5.30,                   207413.70,39029
,BLS,EQ,        33.15,                   841767.80,25223
,BLUECOAST,EQ,         3.55,                    19920.70,5656
,BLUEDART,EQ,      2157.95,                 29706946.45,13478
,BLUESTARCO,EQ,       537.45,                 35414735.60,65776
,BODALCHEM,EQ,        52.55,                 26250176.85,491565
,BOHRA,SM,          .65,                    14300.00,22000
,BOMDYEING,EQ,        53.05,                 28552719.15,535135
,BORORENEW,EQ,        36.85,                  4973125.55,134143
,BPL,BE,        16.10,                   118157.90,7339
,BRFL,EQ,         5.60,                  3698540.75,674955
,BRIGADE,EQ,       123.05,                 40087269.85,321587
,BRITANNIA,N2,        32.02,                    82373.29,2573
