,31-Mar-2020
The Nifty witnessed an intraday movement of about 320.3 points.The closing index was 3.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 39637.65
, Traded Quantity (in Lakhs), 19589.47
, Number of Trades, 18175533
, Total Market Capitalisation (Rs. Crores), 11243111.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BROOKS,EQ,        15.25,                  3294734.00,216152
,BSE,EQ,       296.80,                 70553141.50,237755
,BSELINFRA,EQ,          .75,                    14388.75,19185
,BSHSL,SM,       107.85,                   129420.00,1200
,BSL,EQ,        18.60,                    76812.75,4167
,BSLGOLDETF,EQ,      4039.60,                   428383.05,106
,BSLNIFTY,EQ,       101.90,                    30362.34,301
,BSOFT,EQ,        61.00,                 63145093.45,1070392
,BURNPUR,EQ,          .70,                    23820.35,34341
,BUTTERFLY,EQ,        95.75,                  1675086.10,17540
,BVCL,BE,         7.55,                     7195.20,960
,BYKE,EQ,         8.80,                   198475.10,22654
,CALSOFT,EQ,         7.75,                   188485.70,25669
,CAMLINFINE,EQ,        39.00,                  6004823.30,152383
,CANBK,EQ,        90.50,                583380871.60,6564255
,CANDC,BZ,         1.10,                     2164.80,1968
,CANFINHOME,EQ,       279.05,                 87012026.65,309579
,CANTABIL,EQ,       201.30,                 14297221.80,70291
,CAPACITE,EQ,        73.40,                  3308553.20,44625
,CAPLIPOINT,EQ,       282.40,                 53470717.40,186500
,CAPTRUST,EQ,        50.70,                   133898.70,2641
,CARBORUNIV,EQ,       222.00,                 55995949.40,254711
,CAREERP,EQ,       122.90,                  1818074.60,14832
,CARERATING,EQ,       327.35,                 59863314.70,187435
,CASTEXTECH,BE,          .30,                    57148.55,183206
,CASTROLIND,EQ,        99.45,                 97941280.10,990450
,CCCL,BE,          .25,                    88323.90,343854
,CCHHL,EQ,         1.80,                    16336.50,9046
,CCL,EQ,       177.40,                 34504217.00,198752
,CDSL,EQ,       214.40,                100414903.50,466693
,CEATLTD,EQ,       792.95,                158392285.25,211896
,CEBBCO,EQ,         7.95,                   453333.20,57403
,CELEBRITY,EQ,         3.80,                    54743.25,14825
,CENTENKA,EQ,       119.00,                  1314014.25,11074
,CENTEXT,EQ,         1.70,                   109996.40,67812
,CENTRALBK,EQ,        12.25,                  4043801.00,330169
,CENTRUM,EQ,         9.05,                   652019.55,72229
,CENTUM,EQ,       252.85,                   549539.80,2230
,CENTURYPLY,EQ,       110.95,                 13674900.35,123424
,CENTURYTEX,EQ,       296.10,                278305777.75,948034
,CERA,EQ,      2311.45,                 11688727.20,5191
,CEREBRAINT,BE,        17.55,                  2600997.10,149727
,CESC,EQ,       408.55,                182372462.45,452748
,CESCVENT,EQ,       117.95,                  1359515.95,11788
,CGCL,EQ,       170.80,                 30842840.60,181771
,CGPOWER,EQ,         5.05,                  5238784.30,1027872
,CHALET,EQ,       205.15,                  6589327.70,32619
,CHAMBLFERT,EQ,       108.45,                102342785.70,938987
,CHEMBOND,EQ,       146.80,                    20293.50,135
,CHEMFAB,EQ,       101.20,                    77623.05,772
,CHENNPETRO,EQ,        60.55,                 25791627.55,424207
,CHOLAFIN,EQ,       152.85,                474703998.90,3034121
,CHOLAHLDNG,EQ,       290.00,                 95069803.35,328130
,CHROMATIC,EQ,          .50,                       68.45,152
,CIGNITITEC,EQ,       189.05,                 12521586.70,63651
,CIMMCO,EQ,        10.40,                    67800.85,6494
,CINELINE,EQ,        18.75,                   502536.50,27157
,CINEVISTA,EQ,         4.90,                    35576.20,7330
,CKFSL,BZ,          .30,                    29171.00,102463
,CLEDUCATE,EQ,        31.15,                  1686232.85,52828
,CLNINDIA,EQ,       227.30,                  3359942.30,14940
,CMICABLES,EQ,        19.95,                   304233.45,15244
,COCHINSHIP,EQ,       266.35,                106640034.40,401377
,COMPINFO,EQ,         8.00,                   131483.40,16636
,COMPUSOFT,EQ,         3.60,                    37195.55,10255
,CONFIPET,EQ,        14.75,                 10917126.55,738948
,CONSOFINVT,EQ,        22.40,                    33384.70,1521
,CONTROLPR,EQ,       186.25,                   948617.95,5040
,CORALFINAC,EQ,        12.95,                   368030.15,27856
,CORDSCABLE,EQ,        24.50,                   111925.40,4569
,COROMANDEL,EQ,       546.20,                161518997.35,307605
,COSMOFILMS,EQ,       208.05,                 22098316.50,108259
,COUNCODOS,EQ,          .75,                    27132.25,34763
,COX&KINGS,BZ,          .55,                   506460.05,1031656
,CPSEETF,EQ,        16.06,                 87105937.62,5466027
,CREATIVE,EQ,        77.95,                     4288.50,55
,CREATIVEYE,EQ,         1.50,                      300.00,200
,CREDITACC,EQ,       337.35,                 22739312.25,66266
,CREST,EQ,        52.40,                   301051.90,5997
,CRISIL,EQ,      1254.30,                 24584057.10,19499
,CROMPTON,EQ,       208.80,                239849083.80,1167467
,CROWN,SM,        42.00,                    42000.00,1000
,CSBBANK,EQ,       118.05,                 46655040.85,402376
,CTE,EQ,        13.95,                    96922.45,7028
,CUB,EQ,       129.05,                272656077.40,2215682
,CUBEXTUB,BE,         8.55,                    34145.15,3993
,CUMMINSIND,EQ,       326.70,                446552947.70,1344531
,CUPID,EQ,       141.10,                  6885994.90,49080
,CYBERTECH,EQ,        28.50,                   291680.10,10033
,CYIENT,EQ,       229.30,                 81383912.15,363032
,DAAWAT,EQ,        19.95,                 23010009.85,1166228
,DALBHARAT,EQ,       490.60,                210952121.05,422492
,DALMIASUG,EQ,        48.30,                   958416.90,19843
,DAMODARIND,EQ,        18.00,                   107695.80,5896
,DATAMATICS,EQ,        41.05,                  2919336.45,71594
,DBCORP,EQ,        79.60,                  5176857.00,63734
,DBL,EQ,       211.05,                 30169362.00,142468
,DBREALTY,EQ,         5.05,                  1693780.20,332972
,DBSTOCKBRO,EQ,         7.00,                      147.00,21
,DCAL,EQ,        53.35,                  4696029.35,88208
,DCBBANK,EQ,        94.80,                 41346258.65,427088
,DCM,EQ,        13.40,                   147935.25,11117
,DCMFINSERV,EQ,          .40,                       24.00,60
,DCMNVL,EQ,        23.90,                    47423.35,2057
,DCMSHRIRAM,EQ,       215.20,                 13733149.55,62912
,DCW,EQ,         7.25,                  3466324.45,468460
,DECCANCE,EQ,       196.15,                  1898360.50,9875
,DEEPAKFERT,EQ,        75.15,                 57539738.20,768120
,DEEPAKNTR,EQ,       385.05,                477662303.25,1232918
,DEEPIND,EQ,        53.30,                  1643644.85,31538
,DELTACORP,EQ,        65.35,                279262632.50,4281057
,DELTAMAGNT,EQ,        27.00,                   141175.95,5530
,DEN,EQ,        30.30,                   361735.25,11946
