,13-May-2020
The Nifty witnessed an intraday movement of about 233.4 points.The closing index was 2.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 57532.9
, Traded Quantity (in Lakhs), 31798.62
, Number of Trades, 20242248
, Total Market Capitalisation (Rs. Crores), 12268543.71

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BIL,EQ,        93.55,                   390870.20,4098
,BILENERGY,EQ,          .60,                   300956.30,489445
,BINDALAGRO,EQ,        10.25,                   148474.60,14374
,BIOFILCHEM,EQ,        11.75,                   114032.75,9730
,BIRLACABLE,EQ,        40.65,                  1079639.40,26445
,BIRLACORPN,EQ,       396.75,                112253006.40,278599
,BIRLAMONEY,EQ,        25.80,                  2980311.50,115664
,BIRLATYRE,EQ,         9.55,                   678155.05,71011
,BKMINDST,BE,          .55,                    16983.40,32007
,BLBLIMITED,EQ,         3.15,                     8492.20,2666
,BLISSGVS,EQ,        94.90,                 19839052.75,208978
,BLKASHYAP,BE,         4.75,                   157569.35,33497
,BLS,EQ,        30.20,                  1816540.20,60404
,BLUECOAST,BE,         3.75,                      750.00,200
,BLUEDART,EQ,      2147.95,                 68248023.65,31839
,BLUESTARCO,EQ,       474.05,                105667806.50,221403
,BODALCHEM,EQ,        48.25,                 16279353.55,338585
,BOHRA,ST,         1.20,                    12000.00,10000
,BOMDYEING,EQ,        48.80,                 49414385.40,1011428
,BORORENEW,EQ,        35.75,                  8144461.60,227144
,BPL,BE,        15.15,                   628927.65,41976
,BRFL,BE,         3.95,                   273898.25,68729
,BRIGADE,EQ,       101.10,                 33836681.10,329452
,BRIGHT,SM,         6.50,                    77550.00,12000
,BRITANNIA,N2,        32.60,                   108210.14,3326
,BRNL,EQ,        41.85,                   241581.80,5804
,BROOKS,BE,        28.50,                   228285.00,8010
,BSE,EQ,       412.00,                149890398.70,374713
,BSELINFRA,EQ,          .85,                    28512.25,33593
,BSHSL,SM,       107.90,                   129480.00,1200
,BSL,EQ,        21.60,                   105812.40,5032
,BSLGOLDETF,EQ,      4294.95,                   828048.80,193
,BSLNIFTY,EQ,       109.33,                    64025.07,592
,BSOFT,EQ,        72.65,                 18091023.65,252217
,BURNPUR,EQ,          .70,                    17653.60,23703
,BUTTERFLY,EQ,       102.80,                  4199223.90,41042
,BVCL,BE,         9.05,                     5140.45,568
,BYKE,EQ,         9.55,                   765255.60,81152
,CALSOFT,BE,         8.10,                   223274.75,28327
,CAMLINFINE,EQ,        36.80,                 10316918.70,275834
,CANBK,EQ,        89.05,               1915308151.85,22217447
,CANDC,BZ,         2.00,                     2990.00,1495
,CANFINHOME,EQ,       308.00,                146712990.65,474491
,CANTABIL,EQ,       230.00,                  6349733.70,27523
,CAPACITE,EQ,        79.15,                  4239068.55,54112
,CAPLIPOINT,EQ,       322.70,                 13535639.15,41592
,CAPTRUST,EQ,        62.80,                    79712.35,1260
,CARBORUNIV,EQ,       214.50,                  4845469.85,22518
,CAREERP,EQ,       167.75,                  3767403.35,22494
,CARERATING,EQ,       374.70,                 24592746.60,65323
,CASTEXTECH,BE,          .35,                     8711.85,25069
,CASTROLIND,EQ,       121.65,                189949643.20,1567673
,CCHHL,BE,         2.20,                    30318.10,13752
,CCL,EQ,       189.80,                  6704431.50,35223
,CDSL,EQ,       227.60,                293342068.75,1295242
,CEATLTD,EQ,       742.00,                 60451084.50,81083
,CEBBCO,EQ,         7.90,                   217126.90,27085
,CELEBRITY,EQ,         4.15,                    36903.85,8799
,CENTENKA,EQ,       129.05,                  1990651.30,15299
,CENTEXT,EQ,         2.45,                   511398.75,216141
,CENTRALBK,EQ,        15.10,                 13182303.15,875346
,CENTRUM,EQ,        10.65,                   946021.45,89425
,CENTUM,EQ,       232.80,                   374411.85,1574
,CENTURYPLY,EQ,       111.90,                 53125403.05,478280
,CENTURYTEX,EQ,       279.10,                517518535.85,1852706
,CERA,EQ,      2157.25,                  5942075.15,2721
,CEREBRAINT,BE,        24.75,                   204021.90,8383
,CESC,EQ,       594.40,                293472544.50,483641
,CESCVENT,EQ,       122.95,                  1702003.55,13726
,CGCL,EQ,       140.25,                 21750707.45,154787
,CGPOWER,EQ,         6.60,                  6233147.40,943181
,CHALET,EQ,       131.60,                  4087356.50,31056
,CHAMBLFERT,EQ,       137.05,                510810490.20,3778594
,CHEMBOND,EQ,       141.10,                   433297.45,3070
,CHEMFAB,EQ,       129.95,                   324407.85,2483
